id_contrato;data_concessao;id_cliente;cliente_nome;estado;regiao;canal_origem;tipo_credito;valor_emprestimo;taxa_juros_anual;prazo_meses;score_credito;faixa_score;renda_mensal;parcela_estimada;comprometimento_renda_pct;dias_atraso;status_contrato;categoria_risco;perda_estimada_npl
CTR-50067;2023-05-14;CLI-10067;Cliente_10067;CE;Nordeste;Internet Banking;Cartão de Crédito rotativo;17540.86;0.5096;36;499;Baixo / Alto Risco (<550);18839.29;959.62;5.09;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50068;2024-05-24;CLI-10068;Cliente_10068;DF;Centro-Oeste;Correspondente Bancário;Empréstimo Empresarial PJ;202374.57;0.2425;12;341;Baixo / Alto Risco (<550);23809.15;19160.95;80.48;15;Atraso Curto (1-30d);Risco Moderado (C/D);10118.73
CTR-50069;2024-11-27;CLI-10069;Cliente_10069;CE;Nordeste;Internet Banking;Financiamento Veicular;140710.78;0.1415;12;670;Bom (650-749);32447.81;12643.95;38.97;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50070;2023-06-12;CLI-10070;Cliente_10070;CE;Nordeste;Correspondente Bancário;Crédito Pessoal;4228.09;0.1811;60;638;Médio (550-649);7724.27;107.62;1.39;90;Atraso Crítico (31-90d);Alto Risco (E/F);1057.02
CTR-50071;2024-01-26;CLI-10071;Cliente_10071;DF;Centro-Oeste;App Mobile;Cartão de Crédito rotativo;12157.97;0.4885;36;774;Excelente (750-850);28910.69;649.32;2.25;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50072;2023-11-01;CLI-10072;Cliente_10072;PR;Sul;Correspondente Bancário;Empréstimo Empresarial PJ;234698.72;0.1585;36;492;Baixo / Alto Risco (<550);6253.14;8233.94;131.68;45;Atraso Crítico (31-90d);Alto Risco (E/F);58674.68
CTR-50073;2024-02-18;CLI-10073;Cliente_10073;ES;Sudeste;Agência Física;Financiamento Imobiliário;790075.4;0.0976;36;663;Bom (650-749);23625.27;25404.58;107.53;15;Atraso Curto (1-30d);Risco Moderado (C/D);39503.77
CTR-50074;2024-12-11;CLI-10074;Cliente_10074;PR;Sul;Agência Física;Cartão de Crédito rotativo;5608.74;0.6535;12;520;Baixo / Alto Risco (<550);12609.58;648.82;5.15;35;Atraso Crítico (31-90d);Alto Risco (E/F);1402.18
CTR-50075;2024-11-28;CLI-10075;Cliente_10075;SP;Sudeste;Agência Física;Crédito Pessoal;28387.63;0.3187;60;625;Médio (550-649);29765.38;951.31;3.2;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50076;2024-06-07;CLI-10076;Cliente_10076;PR;Sul;Agência Física;Financiamento Veicular;141441.93;0.2136;12;751;Excelente (750-850);19821.82;13194.64;66.57;15;Atraso Curto (1-30d);Risco Moderado (C/D);7072.1
CTR-50077;2024-08-21;CLI-10077;Cliente_10077;RS;Sul;Agência Física;Crédito Pessoal;5530.69;0.2381;48;723;Bom (650-749);18132.26;179.73;0.99;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50078;2023-04-14;CLI-10078;Cliente_10078;RJ;Sudeste;Internet Banking;Cartão de Crédito rotativo;3339.36;0.6906;60;420;Baixo / Alto Risco (<550);16323.64;199.12;1.22;15;Atraso Curto (1-30d);Risco Moderado (C/D);166.97
CTR-50079;2023-06-04;CLI-10079;Cliente_10079;BA;Nordeste;Correspondente Bancário;Crédito Pessoal;23240.32;0.4032;24;817;Excelente (750-850);13908.26;1426.04;10.25;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50080;2025-08-31;CLI-10080;Cliente_10080;RJ;Sudeste;Correspondente Bancário;Financiamento Imobiliário;222931.81;0.1227;120;384;Baixo / Alto Risco (<550);17137.36;3233.32;18.87;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50081;2024-03-14;CLI-10081;Cliente_10081;DF;Centro-Oeste;App Mobile;Financiamento Veicular;135495.51;0.2134;48;431;Baixo / Alto Risco (<550);14202.44;4220.53;29.72;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50082;2025-03-31;CLI-10082;Cliente_10082;RS;Sul;App Mobile;Financiamento Imobiliário;441915.88;0.1264;120;404;Baixo / Alto Risco (<550);21491.74;6504.78;30.27;45;Atraso Crítico (31-90d);Alto Risco (E/F);110478.97
CTR-50083;2025-01-29;CLI-10083;Cliente_10083;CE;Nordeste;Internet Banking;Empréstimo Empresarial PJ;238577.2;0.1244;60;577;Médio (550-649);19874.89;5360.22;26.97;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50084;2025-01-15;CLI-10084;Cliente_10084;CE;Nordeste;Correspondente Bancário;Financiamento Imobiliário;436257.58;0.1134;60;638;Médio (550-649);6530.32;9559.44;146.39;45;Atraso Crítico (31-90d);Alto Risco (E/F);109064.4
CTR-50085;2024-12-14;CLI-10085;Cliente_10085;SC;Sul;App Mobile;Financiamento Veicular;87930.82;0.1994;48;705;Bom (650-749);24620.13;2672.96;10.86;20;Atraso Curto (1-30d);Risco Moderado (C/D);4396.54
CTR-50086;2023-11-29;CLI-10086;Cliente_10086;CE;Nordeste;Correspondente Bancário;Financiamento Veicular;27239.57;0.1899;36;577;Médio (550-649);28034.65;998.36;3.56;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50087;2024-07-07;CLI-10087;Cliente_10087;PE;Nordeste;App Mobile;Crédito Pessoal;27398.38;0.2966;48;627;Médio (550-649);32263.57;981.1;3.04;90;Atraso Crítico (31-90d);Alto Risco (E/F);6849.6
CTR-50088;2023-02-20;CLI-10088;Cliente_10088;GO;Centro-Oeste;Agência Física;Empréstimo Empresarial PJ;292866.37;0.1334;60;848;Excelente (750-850);23250.36;6714.69;28.88;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50089;2024-12-12;CLI-10089;Cliente_10089;RJ;Sudeste;App Mobile;Crédito Pessoal;34962.57;0.4161;48;357;Baixo / Alto Risco (<550);7381.68;1505.47;20.39;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);27970.06
CTR-50090;2025-08-02;CLI-10090;Cliente_10090;SC;Sul;Correspondente Bancário;Financiamento Imobiliário;894633.03;0.1078;36;593;Médio (550-649);23466.39;29196.02;124.42;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);715706.42
CTR-50091;2024-08-10;CLI-10091;Cliente_10091;RS;Sul;Correspondente Bancário;Cartão de Crédito rotativo;13076.05;0.5088;12;614;Médio (550-649);27904.57;1412.75;5.06;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50092;2024-04-18;CLI-10092;Cliente_10092;PE;Nordeste;Internet Banking;Financiamento Imobiliário;407096.83;0.127;60;351;Baixo / Alto Risco (<550);31369.52;9200.3;29.33;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50093;2023-01-11;CLI-10093;Cliente_10093;SC;Sul;App Mobile;Financiamento Veicular;110631.18;0.1672;36;415;Baixo / Alto Risco (<550);12716.32;3928.9;30.9;45;Atraso Crítico (31-90d);Alto Risco (E/F);27657.79
CTR-50094;2025-03-16;CLI-10094;Cliente_10094;MG;Sudeste;Internet Banking;Financiamento Imobiliário;305347.59;0.0989;24;719;Bom (650-749);11044.1;14074.74;127.44;45;Atraso Crítico (31-90d);Alto Risco (E/F);76336.9
CTR-50095;2023-03-08;CLI-10095;Cliente_10095;DF;Centro-Oeste;Internet Banking;Empréstimo Empresarial PJ;496719.9;0.2238;60;370;Baixo / Alto Risco (<550);34650.39;13826.4;39.9;15;Atraso Curto (1-30d);Risco Moderado (C/D);24836.0
CTR-50096;2025-07-28;CLI-10096;Cliente_10096;PR;Sul;Internet Banking;Financiamento Veicular;95413.88;0.2645;12;532;Baixo / Alto Risco (<550);12821.86;9135.81;71.25;15;Atraso Curto (1-30d);Risco Moderado (C/D);4770.69
CTR-50097;2023-05-15;CLI-10097;Cliente_10097;GO;Centro-Oeste;App Mobile;Crédito Pessoal;11605.91;0.2975;24;527;Baixo / Alto Risco (<550);32988.48;647.43;1.96;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50098;2023-09-17;CLI-10098;Cliente_10098;BA;Nordeste;Correspondente Bancário;Financiamento Veicular;108794.84;0.2262;12;686;Bom (650-749);29942.75;10215.08;34.12;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50099;2024-10-28;CLI-10099;Cliente_10099;SC;Sul;Agência Física;Financiamento Imobiliário;583303.98;0.099;72;732;Bom (650-749);20193.6;10776.8;53.37;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);466643.18
CTR-50100;2025-08-13;CLI-10100;Cliente_10100;DF;Centro-Oeste;App Mobile;Empréstimo Empresarial PJ;67782.62;0.1389;48;733;Bom (650-749);6849.25;1848.52;26.99;5;Atraso Curto (1-30d);Risco Moderado (C/D);3389.13
CTR-50101;2023-08-19;CLI-10101;Cliente_10101;DF;Centro-Oeste;Internet Banking;Financiamento Veicular;177862.15;0.2044;12;444;Baixo / Alto Risco (<550);4228.73;16513.65;390.51;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);142289.72
CTR-50102;2023-05-16;CLI-10102;Cliente_10102;ES;Sudeste;Agência Física;Financiamento Imobiliário;396199.82;0.1087;120;766;Excelente (750-850);20798.36;5428.54;26.1;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50103;2025-01-26;CLI-10103;Cliente_10103;CE;Nordeste;Correspondente Bancário;Financiamento Veicular;144700.47;0.277;24;658;Bom (650-749);20597.28;7920.29;38.45;5;Atraso Curto (1-30d);Risco Moderado (C/D);7235.02
CTR-50104;2025-03-03;CLI-10104;Cliente_10104;ES;Sudeste;Agência Física;Empréstimo Empresarial PJ;232813.93;0.2294;12;600;Médio (550-649);30342.9;21895.54;72.16;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);186251.14
CTR-50105;2025-06-29;CLI-10105;Cliente_10105;BA;Nordeste;Agência Física;Crédito Pessoal;27107.15;0.42;60;761;Excelente (750-850);26831.71;1086.69;4.05;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50106;2023-02-26;CLI-10106;Cliente_10106;PE;Nordeste;Internet Banking;Financiamento Imobiliário;908722.22;0.1295;72;551;Médio (550-649);11488.3;18217.81;158.58;45;Atraso Crítico (31-90d);Alto Risco (E/F);227180.55
CTR-50107;2025-08-10;CLI-10107;Cliente_10107;PR;Sul;Correspondente Bancário;Financiamento Veicular;96269.71;0.2125;12;451;Baixo / Alto Risco (<550);11508.57;8975.59;77.99;15;Atraso Curto (1-30d);Risco Moderado (C/D);4813.49
CTR-50108;2024-01-15;CLI-10108;Cliente_10108;RS;Sul;App Mobile;Empréstimo Empresarial PJ;50202.91;0.1271;12;363;Baixo / Alto Risco (<550);23041.44;4477.16;19.43;45;Atraso Crítico (31-90d);Alto Risco (E/F);12550.73
CTR-50109;2024-08-30;CLI-10109;Cliente_10109;RJ;Sudeste;Correspondente Bancário;Crédito Pessoal;8558.79;0.397;24;824;Excelente (750-850);9426.21;522.31;5.54;0;Em Dia;Baixo Risco (A/B);0.0
