ID_Contrato;Data_Concessao;Cliente_Nome;Estado;Canal_Origem;Tipo_Credito;Valor_Emprestimo_Bruto;Taxa_Juros_Anual;Prazo_Meses;Score_Credito;Renda_Mensal;Dias_Atraso;Status_Contrato
CTR-50026;03/07/2023;Cliente_10026;PE;App Mobile;empréstimo empresarial pj;418938,5;0,1643;60;645;4800,18;95;Inadimplente / NPL (>90d)
CTR-50027;2024-06-04;Cliente_10027;MG;Correspondente Bancário;Financiamento Veicular;172404,99;0,1726;36;671;30558,82;0;Em Dia
CTR-50028;2024-11-20;Cliente_10028;CE;Agência Física;Financiamento Imobiliário;276635,38;0,1076;360;325;33414,16;95;Inadimplente / NPL (>90d)
CTR-50029;28/03/2023;Cliente_10029;PR;Agência Física;empréstimo empresarial pj;378953,73;0,1379;12;338;20069,3;95;Inadimplente / NPL (>90d)
CTR-50030;2024-07-05;Cliente_10030;PE;Internet Banking;Empréstimo Empresarial PJ;97214,66;0,1384;48;661;20519,69;0;Em Dia
CTR-50031;2023-10-30;Cliente_10031;PE;Agência Física;Financiamento Veicular;45770,74;0,1944;12;811;33054,95;0;Em Dia
CTR-50032;09/01/2025;Cliente_10032; PE ;App Mobile;Financiamento Imobiliário;401737,75;0,093;12;439;19479,75;120;Inadimplente / NPL (>90d)
CTR-50033;10/08/2023;Cliente_10033;pe;Internet Banking;Empréstimo Empresarial PJ;324508,37;0,1364;36;816;6436,59;95;Inadimplente / NPL (>90d)
CTR-50034;2023-05-01;Cliente_10034;sc;Correspondente Bancário;Cartão de Credito rotativo;3297,83;0,6576;36;786;32366,02;0;Em Dia
CTR-50035;2025-03-07;Cliente_10035;PR;Agência Física;Financiamento Imobiliário;284673,22;0,1088;72;650;32027,38;0;Em Dia
CTR-50036;2023-08-14;Cliente_10036;GO;Agência Física;Financiamento Veicular;88503,49;0,2525;48;537;7940,11;10;Atraso Curto (1-30d)
CTR-50037;24/11/2023;Cliente_10037;pr;Correspondente Bancário;Financiamento Veicular;47531,16;0,2278;24;659;34111,99;0;Em Dia
CTR-50038;2024-02-15;Cliente_10038;RS;App Mobile;Empréstimo Empresarial PJ;372408,03;0,2076;36;417;24733,6;120;Inadimplente / NPL (>90d)
CTR-50039;13/07/2024;Cliente_10039;PE;Internet Banking;Cartão de Credito rotativo;7691,05;0,5822;48;497;3336,49;45;Atraso Crítico (31-90d)
CTR-50040;07/03/2025;Cliente_10040;BA;Correspondente Bancário;Financiamento Veicular;26821,87;0,246;12;595;13451,64;10;Atraso Curto (1-30d)
CTR-50041;23/07/2024;Cliente_10041;GO;Internet Banking;Empréstimo Empresarial PJ;396022,47;0,2477;24;657;34114,02;120;Inadimplente / NPL (>90d)
CTR-50042;2024-03-03;Cliente_10042;GO;Internet Banking;Credito Pessoal;2934,04;0,4335;12;509;20607,44;10;Atraso Curto (1-30d)
CTR-50043;18/12/2023;Cliente_10043;sc;Agência Física;Empréstimo Empresarial PJ;265861,59;0,1835;36;576;4174,89;45;Atraso Crítico (31-90d)
CTR-50044;2025-02-12;Cliente_10044; BA ;Internet Banking;Financiamento Veicular;67413,39;0,2579;48;631;9985,42;0;Em Dia
CTR-50045;2024-11-29;Cliente_10045; PE ;Agência Física;Cartão de Credito rotativo;12711,79;0,7912;60;652;18655,51;0;Em Dia
CTR-50046;2025-02-16;Cliente_10046;PR;Correspondente Bancário;Credito Pessoal;32541,65;0,4445;12;794;10708,65;0;Em Dia
CTR-50047;2025-03-05;Cliente_10047;GO;Correspondente Bancário;Financiamento Imobiliário;597109,94;0,1312;72;692;34910,13;0;Em Dia
CTR-50048;2023-06-06;Cliente_10048;GO;Internet Banking;Financiamento Imobiliário;787852,31;0,129;12;355;11971,75;15;Atraso Curto (1-30d)
CTR-50049;12/05/2023;Cliente_10049; BA ;Internet Banking;Financiamento Imobiliário;704384,82;0,1263;36;743;23519,2;45;Atraso Crítico (31-90d)
CTR-50050;2024-07-09;Cliente_10050;RJ;Correspondente Bancário;Cartão de Credito rotativo;3945,34;0,5798;60;361;18066,79;0;Em Dia
CTR-50051;03/12/2023;Cliente_10051;SP;Internet Banking;Empréstimo Empresarial PJ;136097,12;0,2261;48;763;9381,94;95;Inadimplente / NPL (>90d)
CTR-50052;02/07/2024;Cliente_10052;RS;Correspondente Bancário;Cartão de Credito rotativo;17267,19;0,732;36;771;32923,91;0;Em Dia
CTR-50053;2025-02-13;Cliente_10053; RJ ;Agência Física;Empréstimo Empresarial PJ;359559,91;0,135;24;763;9057,58;120;Inadimplente / NPL (>90d)
CTR-50054;2025-07-24;Cliente_10054;DF;Agência Física;Financiamento Veicular;139565,57;0,1958;48;791;31375,58;0;Em Dia
CTR-50055;2024-01-03;Cliente_10055;ba;Correspondente Bancário;Empréstimo Empresarial PJ;334869,16;0,1263;60;654;27156,99;5;Atraso Curto (1-30d)
CTR-50056;2025-03-26;Cliente_10056;pe;App Mobile;Financiamento Veicular;70997,49;0,1513;12;391;19884,4;45;Atraso Crítico (31-90d)
CTR-50057;2024-04-12;Cliente_10057;CE;Correspondente Bancário;Empréstimo Empresarial PJ;59884,86;0,2368;24;347;6364,9;0;Em Dia
CTR-50058;2023-03-14;Cliente_10058;CE;App Mobile;Financiamento Veicular;136171,69;0,183;48;567;13312,13;35;Atraso Crítico (31-90d)
CTR-50059;04/03/2024;Cliente_10059;sp;Correspondente Bancário;Financiamento Imobiliário;626550,85;0,1091;24;807;21897,66;45;Atraso Crítico (31-90d)
CTR-50060;04/02/2023;Cliente_10060;PE;Correspondente Bancário;Financiamento Imobiliário;385737,87;0,1323;72;593;27543,55;35;Atraso Crítico (31-90d)
CTR-50061;27/06/2024;Cliente_10061;RJ;Agência Física;Financiamento Imobiliário;619250,85;0,1155;360;735;28848,03;0;Em Dia
CTR-50062;22/02/2023;Cliente_10062;PR;Internet Banking;Empréstimo Empresarial PJ;169875,13;0,1687;36;491;32975,41;0;Em Dia
CTR-50063;2024-04-03;Cliente_10063;PE;App Mobile;Financiamento Veicular;173787,33;0,277;48;847;23175,36;0;Em Dia
CTR-50064;2024-05-08;Cliente_10064;SP;Agência Física;Credito Pessoal;7555,28;0,1977;24;327;12180,83;45;Atraso Crítico (31-90d)
CTR-50065;21/06/2023;Cliente_10065;pe;Internet Banking;Cartão de Credito rotativo;16584,05;0,6667;24;722;17848,74;0;Em Dia
CTR-50066;2024-11-22;Cliente_10066; CE ;Internet Banking;Financiamento Imobiliário;339508,64;0,1158;72;729;11925,7;45;Atraso Crítico (31-90d)
CTR-50067;2023-05-14;Cliente_10067;ce;Internet Banking;Cartão de Credito rotativo;17540,86;0,5096;36;499;18839,29;0;Em Dia
CTR-50068;2024-05-24;Cliente_10068;DF;Correspondente Bancário;Empréstimo Empresarial PJ;202374,57;0,2425;12;341;23809,15;15;Atraso Curto (1-30d)
CTR-50069;2024-11-27;Cliente_10069; CE ;Internet Banking;Financiamento Veicular;140710,78;0,1415;12;670;32447,81;0;Em Dia
CTR-50070;2023-06-12;Cliente_10070;ce;Correspondente Bancário;Credito Pessoal;4228,09;0,1811;60;638;7724,27;90;Atraso Crítico (31-90d)
CTR-50071;2024-01-26;Cliente_10071;DF;App Mobile;Cartão de Credito rotativo;12157,97;0,4885;36;774;28910,69;0;Em Dia
CTR-50072;2023-11-01;Cliente_10072;PR;Correspondente Bancário;Empréstimo Empresarial PJ;234698,72;0,1585;36;492;6253,14;45;Atraso Crítico (31-90d)
CTR-50073;2024-02-18;Cliente_10073;ES;Agência Física;Financiamento Imobiliário;790075,4;0,0976;36;663;23625,27;15;Atraso Curto (1-30d)
CTR-50074;2024-12-11;Cliente_10074;PR;Agência Física;Cartão de Credito rotativo;5608,74;0,6535;12;520;12609,58;35;Atraso Crítico (31-90d)
CTR-50075;2024-11-28;Cliente_10075;SP;Agência Física;Credito Pessoal;28387,63;0,3187;60;625;29765,38;0;Em Dia
CTR-50076;07/06/2024;Cliente_10076;PR;Agência Física;Financiamento Veicular;141441,93;0,2136;12;751;19821,82;15;Atraso Curto (1-30d)
CTR-50077;21/08/2024;Cliente_10077;RS;Agência Física;crédito pessoal;5530,69;0,2381;48;723;18132,26;0;Em Dia
CTR-50078;14/04/2023;Cliente_10078; RJ ;Internet Banking;cartão de crédito rotativo;3339,36;0,6906;60;420;16323,64;15;Atraso Curto (1-30d)
CTR-50079;04/06/2023;Cliente_10079;ba;Correspondente Bancário;Credito Pessoal;23240,32;0,4032;24;817;13908,26;0;Em Dia
CTR-50080;31/08/2025;Cliente_10080;RJ;Correspondente Bancário;Financiamento Imobiliário;222931,81;0,1227;120;384;17137,36;0;Em Dia
CTR-50081;14/03/2024;Cliente_10081;DF;App Mobile;Financiamento Veicular;135495,51;0,2134;48;431;14202,44;0;Em Dia
CTR-50082;31/03/2025;Cliente_10082;RS;App Mobile;Financiamento Imobiliário;441915,88;0,1264;120;404;21491,74;45;Atraso Crítico (31-90d)
CTR-50083;2025-01-29;Cliente_10083;CE;Internet Banking;Empréstimo Empresarial PJ;238577,2;0,1244;60;577;19874,89;0;Em Dia
CTR-50084;2025-01-15;Cliente_10084;ce;Correspondente Bancário;Financiamento Imobiliário;436257,58;0,1134;60;638;6530,32;45;Atraso Crítico (31-90d)
CTR-50085;14/12/2024;Cliente_10085;SC;App Mobile;Financiamento Veicular;87930,82;0,1994;48;705;24620,13;20;Atraso Curto (1-30d)
CTR-50086;2023-11-29;Cliente_10086; CE ;Correspondente Bancário;financiamento veicular;27239,57;0,1899;36;577;28034,65;0;Em Dia
CTR-50087;07/07/2024;Cliente_10087;PE;App Mobile;crédito pessoal;27398,38;0,2966;48;627;32263,57;90;Atraso Crítico (31-90d)
CTR-50088;20/02/2023;Cliente_10088;go;Agência Física;Empréstimo Empresarial PJ;292866,37;0,1334;60;848;23250,36;0;Em Dia
CTR-50089;12/12/2024;Cliente_10089; RJ ;App Mobile;Credito Pessoal;34962,57;0,4161;48;357;7381,68;120;Inadimplente / NPL (>90d)
CTR-50090;02/08/2025;Cliente_10090;SC;Correspondente Bancário;financiamento imobiliário;894633,03;0,1078;36;593;23466,39;120;Inadimplente / NPL (>90d)
CTR-50091;2024-08-10;Cliente_10091;rs;Correspondente Bancário;Cartão de Credito rotativo;13076,05;0,5088;12;614;27904,57;0;Em Dia
CTR-50092;2024-04-18;Cliente_10092;PE;Internet Banking;Financiamento Imobiliário;407096,83;0,127;60;351;31369,52;0;Em Dia
CTR-50093;2023-01-11;Cliente_10093; SC ;App Mobile;Financiamento Veicular;110631,18;0,1672;36;415;12716,32;45;Atraso Crítico (31-90d)
CTR-50094;16/03/2025;Cliente_10094;MG;Internet Banking;Financiamento Imobiliário;305347,59;0,0989;24;719;11044,1;45;Atraso Crítico (31-90d)
CTR-50095;2023-03-08;Cliente_10095;DF;Internet Banking;Empréstimo Empresarial PJ;496719,9;0,2238;60;370;34650,39;15;Atraso Curto (1-30d)
CTR-50096;28/07/2025;Cliente_10096;PR;Internet Banking;Financiamento Veicular;95413,88;0,2645;12;532;12821,86;15;Atraso Curto (1-30d)
CTR-50097;15/05/2023;Cliente_10097;GO;App Mobile;Credito Pessoal;11605,91;0,2975;24;527;32988,48;0;Em Dia
CTR-50098;17/09/2023;Cliente_10098;BA;Correspondente Bancário;Financiamento Veicular;108794,84;0,2262;12;686;29942,75;0;Em Dia
CTR-50099;28/10/2024;Cliente_10099;SC;Agência Física;Financiamento Imobiliário;583303,98;0,099;72;732;20193,6;95;Inadimplente / NPL (>90d)
CTR-50100;13/08/2025;Cliente_10100;DF;App Mobile;Empréstimo Empresarial PJ;67782,62;0,1389;48;733;6849,25;5;Atraso Curto (1-30d)
CTR-50101;2023-08-19;Cliente_10101;DF;Internet Banking;Financiamento Veicular;177862,15;0,2044;12;444;4228,73;120;Inadimplente / NPL (>90d)
CTR-50102;2023-05-16;Cliente_10102;ES;Agência Física;Financiamento Imobiliário;396199,82;0,1087;120;766;20798,36;0;Em Dia
CTR-50103;26/01/2025;Cliente_10103;CE;Correspondente Bancário;Financiamento Veicular;144700,47;0,277;24;658;20597,28;5;Atraso Curto (1-30d)
CTR-50104;03/03/2025;Cliente_10104;ES;Agência Física;Empréstimo Empresarial PJ;232813,93;0,2294;12;600;30342,9;95;Inadimplente / NPL (>90d)
CTR-50105;29/06/2025;Cliente_10105;ba;Agência Física;Credito Pessoal;27107,15;0,42;60;761;26831,71;0;Em Dia
CTR-50106;26/02/2023;Cliente_10106;pe;Internet Banking;Financiamento Imobiliário;908722,22;0,1295;72;551;11488,3;45;Atraso Crítico (31-90d)
CTR-50107;10/08/2025;Cliente_10107;pr;Correspondente Bancário;Financiamento Veicular;96269,71;0,2125;12;451;11508,57;15;Atraso Curto (1-30d)
CTR-50108;2024-01-15;Cliente_10108;rs;App Mobile;Empréstimo Empresarial PJ;50202,91;0,1271;12;363;23041,44;45;Atraso Crítico (31-90d)
CTR-50109;2024-08-30;Cliente_10109; RJ ;Correspondente Bancário;crédito pessoal;8558,79;0,397;24;824;9426,21;0;Em Dia
CTR-50110;30/05/2024;Cliente_10110;BA;Correspondente Bancário;empréstimo empresarial pj;362488,15;0,1325;48;729;30313,64;5;Atraso Curto (1-30d)
CTR-50111;2023-01-30;Cliente_10111;ES;Internet Banking;Credito Pessoal;3642,88;0,2625;24;323;33393,24;15;Atraso Curto (1-30d)
CTR-50112;19/05/2024;Cliente_10112;RJ;Agência Física;financiamento veicular;52634,27;0,2228;12;403;31461,17;0;Em Dia
CTR-50113;2024-09-08;Cliente_10113;BA;Correspondente Bancário;crédito pessoal;30561,74;0,3924;60;497;21706,33;45;Atraso Crítico (31-90d)
CTR-50114;2023-07-14;Cliente_10114;ES;Correspondente Bancário;Credito Pessoal;29711,42;0,4473;12;844;16424,06;0;Em Dia
CTR-50115;05/09/2024;Cliente_10115;RJ;Agência Física;Cartão de Credito rotativo;18576,42;0,7161;48;668;13048,9;0;Em Dia
CTR-50116;04/12/2023;Cliente_10116; RJ ;Correspondente Bancário;Cartão de Credito rotativo;8883,18;0,7855;24;644;21616,75;0;Em Dia
CTR-50117;2025-07-04;Cliente_10117; DF ;Internet Banking;Cartão de Credito rotativo;6045,98;0,7757;48;725;28850,84;0;Em Dia
CTR-50118;2023-06-28;Cliente_10118;SP;Internet Banking;financiamento veicular;48922,98;0,1617;36;459;15911,32;45;Atraso Crítico (31-90d)
CTR-50119;27/03/2025;Cliente_10119;ce;Agência Física;Credito Pessoal;14609,42;0,4168;12;780;3351,47;0;Em Dia
CTR-50120;18/04/2023;Cliente_10120;ES;Internet Banking;Financiamento Imobiliário;424335,5;0,0948;72;767;26340,87;0;Em Dia
CTR-50121;24/04/2024;Cliente_10121;RS;App Mobile;Empréstimo Empresarial PJ;110090,69;0,2095;60;732;23118,16;0;Em Dia
CTR-50122;2023-01-21;Cliente_10122;MG;Internet Banking;Financiamento Imobiliário;584956,21;0,1398;120;662;9547,18;15;Atraso Curto (1-30d)
CTR-50123;2023-02-04;Cliente_10123; RJ ;Internet Banking;Financiamento Veicular;43472,69;0,2423;12;766;9197,78;5;Atraso Curto (1-30d)
CTR-50124;2024-04-30;Cliente_10124;RJ;App Mobile;Financiamento Imobiliário;759957,22;0,1323;48;561;23156,29;0;Em Dia
CTR-50125;21/02/2024;Cliente_10125;PE;App Mobile;Credito Pessoal;12717,74;0,2388;48;398;4337,26;120;Inadimplente / NPL (>90d)
CTR-50126;29/12/2023;Cliente_10126;mg;App Mobile;Financiamento Veicular;176559,05;0,1565;36;460;22237,35;15;Atraso Curto (1-30d)
CTR-50127;2023-04-29;Cliente_10127;CE;App Mobile;Empréstimo Empresarial PJ;109965,0;0,1478;60;732;26596,41;0;Em Dia
CTR-50128;14/05/2023;Cliente_10128;MG;Internet Banking;Financiamento Imobiliário;711485,41;0,1291;120;529;18645,42;120;Inadimplente / NPL (>90d)
CTR-50129;13/01/2023;Cliente_10129;SC;Agência Física;Financiamento Imobiliário;378953,91;0,1063;72;613;24738,89;0;Em Dia
CTR-50130;23/12/2024;Cliente_10130;MG;Correspondente Bancário;Financiamento Veicular;64542,32;0,2286;48;730;4264,11;95;Inadimplente / NPL (>90d)
CTR-50131;11/01/2025;Cliente_10131;SP;Agência Física;Financiamento Veicular;28280,69;0,2204;36;784;3343,86;0;Em Dia
CTR-50132;2024-04-21;Cliente_10132;DF;Internet Banking;Cartão de Credito rotativo;11331,94;0,6437;12;330;22963,29;120;Inadimplente / NPL (>90d)
CTR-50133;06/04/2025;Cliente_10133;SP;Internet Banking;Cartão de Credito rotativo;4392,33;0,5754;60;570;29221,99;35;Atraso Crítico (31-90d)
CTR-50134;14/12/2023;Cliente_10134;rs;Correspondente Bancário;Financiamento Veicular;37366,75;0,2417;60;379;18986,02;45;Atraso Crítico (31-90d)
CTR-50135;17/03/2024;Cliente_10135;MG;Internet Banking;Credito Pessoal;21163,8;0,3238;48;739;21356,84;0;Em Dia
CTR-50136;2023-01-27;Cliente_10136;CE;Correspondente Bancário;Cartão de Credito rotativo;13712,6;0,4618;60;450;8348,03;0;Em Dia
CTR-50137;23/09/2024;Cliente_10137;MG;Agência Física;Financiamento Veicular;53876,22;0,2098;24;372;25462,65;95;Inadimplente / NPL (>90d)
CTR-50138;23/04/2024;Cliente_10138;BA;Agência Física;Cartão de Credito rotativo;18758,16;0,604;24;489;23097,55;0;Em Dia
CTR-50139;21/10/2023;Cliente_10139;RJ;Agência Física;financiamento imobiliário;837080,01;0,1268;60;626;17146,32;95;Inadimplente / NPL (>90d)
CTR-50140;26/06/2023;Cliente_10140;RJ;App Mobile;Financiamento Imobiliário;323165,42;0,089;120;725;19323,65;5;Atraso Curto (1-30d)
CTR-50141;2024-06-22;Cliente_10141;ES;App Mobile;Financiamento Imobiliário;852520,21;0,1;360;412;14885,34;0;Em Dia
CTR-50142;03/06/2023;Cliente_10142;CE;Internet Banking;Credito Pessoal;18200,53;0,2262;48;648;18867,77;10;Atraso Curto (1-30d)
CTR-50143;2023-06-04;Cliente_10143;RS;App Mobile;cartão de crédito rotativo;17990,7;0,5535;12;392;5484,67;15;Atraso Curto (1-30d)
CTR-50144;2024-03-16;Cliente_10144;SC;Agência Física;Financiamento Veicular;139598,49;0,2685;12;789;23206,68;95;Inadimplente / NPL (>90d)
CTR-50145;2023-04-25;Cliente_10145;ES;Internet Banking;Credito Pessoal;28387,43;0,2807;12;584;27495,4;0;Em Dia
CTR-50146;2023-03-15;Cliente_10146;CE;Agência Física;Empréstimo Empresarial PJ;239420,82;0,2395;12;392;4992,62;45;Atraso Crítico (31-90d)
CTR-50147;19/08/2025;Cliente_10147;PR;Agência Física;Cartão de Credito rotativo;2227,14;0,4908;36;819;14152,47;0;Em Dia
CTR-50148;2023-06-25;Cliente_10148;SC;Agência Física;Empréstimo Empresarial PJ;435603,76;0,1251;60;488;33318,92;95;Inadimplente / NPL (>90d)
CTR-50149;2023-10-18;Cliente_10149;CE;Agência Física;Financiamento Imobiliário;854902,24;0,1284;36;546;18541,44;15;Atraso Curto (1-30d)
CTR-50150;2025-05-24;Cliente_10150; RJ ;Correspondente Bancário;Empréstimo Empresarial PJ;196911,37;0,243;24;595;17767,97;15;Atraso Curto (1-30d)
CTR-50151;2024-05-28;Cliente_10151;SP;Correspondente Bancário;Financiamento Veicular;81634,92;0,259;48;461;27164,01;0;Em Dia
CTR-50152;03/04/2025;Cliente_10152;rs;Internet Banking;Financiamento Veicular;29490,11;0,1882;12;541;14879,23;10;Atraso Curto (1-30d)
CTR-50153;2024-02-29;Cliente_10153; DF ;Correspondente Bancário;Empréstimo Empresarial PJ;293341,22;0,1357;36;534;10876,78;45;Atraso Crítico (31-90d)
CTR-50154;2024-05-18;Cliente_10154;pr;Correspondente Bancário;Cartão de Credito rotativo;9426,8;0,5278;60;733;23896,69;0;Em Dia
CTR-50155;06/10/2023;Cliente_10155;RJ;Correspondente Bancário;Credito Pessoal;31945,35;0,2422;36;366;34349,09;95;Inadimplente / NPL (>90d)
CTR-50156;2023-10-04;Cliente_10156;ES;Agência Física;Financiamento Veicular;138171,24;0,2783;12;843;4936,06;15;Atraso Curto (1-30d)
CTR-50157;2023-05-29;Cliente_10157;GO;Agência Física;Cartão de Credito rotativo;8591,97;0,4811;24;333;8935,53;95;Inadimplente / NPL (>90d)
CTR-50158;2023-01-23;Cliente_10158;MG;Agência Física;Cartão de Credito rotativo;15501,44;0,7715;48;385;29584,42;15;Atraso Curto (1-30d)
CTR-50159;2024-02-17;Cliente_10159;df;App Mobile;Cartão de Credito rotativo;12284,15;0,6664;36;644;18688,53;0;Em Dia
CTR-50160;2023-10-26;Cliente_10160;DF;Internet Banking;Cartão de Credito rotativo;10277,92;0,6663;48;834;13844,54;0;Em Dia
CTR-50161;11/03/2023;Cliente_10161;ba;Correspondente Bancário;Financiamento Veicular;105717,19;0,2704;48;605;4346,37;0;Em Dia
CTR-50162;03/05/2025;Cliente_10162;MG;App Mobile;Financiamento Imobiliário;763556,39;0,1101;12;640;19992,6;45;Atraso Crítico (31-90d)
CTR-50163;06/11/2023;Cliente_10163;SC;Correspondente Bancário;empréstimo empresarial pj;89330,85;0,1344;48;503;32424,86;0;Em Dia
CTR-50164;08/05/2024;Cliente_10164;PR;Agência Física;Credito Pessoal;34516,4;0,2542;36;442;6795,14;45;Atraso Crítico (31-90d)
CTR-50165;2025-03-01;Cliente_10165;GO;Agência Física;Cartão de Credito rotativo;2437,31;0,8389;24;461;10168,17;0;Em Dia
CTR-50166;07/07/2025;Cliente_10166;pe;Correspondente Bancário;Cartão de Credito rotativo;3183,9;0,5194;48;597;11058,71;35;Atraso Crítico (31-90d)
CTR-50167;2025-03-08;Cliente_10167;RS;Agência Física;Financiamento Imobiliário;565939,91;0,102;48;445;33609,09;95;Inadimplente / NPL (>90d)
CTR-50168;2025-02-20;Cliente_10168;es;App Mobile;Financiamento Veicular;132845,04;0,2751;48;609;30902,78;35;Atraso Crítico (31-90d)
CTR-50169;27/01/2024;Cliente_10169;RS;Internet Banking;Cartão de Credito rotativo;2417,64;0,5045;24;344;28801,77;95;Inadimplente / NPL (>90d)
CTR-50170;25/11/2024;Cliente_10170; DF ;Correspondente Bancário;Financiamento Imobiliário;464862,44;0,1301;72;560;14472,98;120;Inadimplente / NPL (>90d)
CTR-50171;2024-12-30;Cliente_10171;sc;Internet Banking;Empréstimo Empresarial PJ;428723,62;0,1717;60;632;16744,28;15;Atraso Curto (1-30d)
CTR-50172;2023-02-22;Cliente_10172;SP;App Mobile;Cartão de Credito rotativo;2297,24;0,7795;36;693;33821,58;0;Em Dia
CTR-50173;19/06/2024;Cliente_10173;ES;App Mobile;Financiamento Imobiliário;269374,48;0,1245;60;354;19621,97;45;Atraso Crítico (31-90d)
CTR-50174;15/12/2023;Cliente_10174;CE;App Mobile;Cartão de Credito rotativo;3172,67;0,6968;24;771;14829,28;0;Em Dia
CTR-50175;2024-05-25;Cliente_10175;PR;Agência Física;Financiamento Veicular;37362,59;0,2744;60;647;31805,11;35;Atraso Crítico (31-90d)
CTR-50176;19/06/2023;Cliente_10176; CE ;App Mobile;Cartão de Credito rotativo;1862,4;0,7465;48;413;23232,13;45;Atraso Crítico (31-90d)
CTR-50177;2025-05-31;Cliente_10177;RS;App Mobile;Financiamento Veicular;101581,94;0,2467;12;655;26489,1;0;Em Dia
CTR-50178;08/11/2024;Cliente_10178;BA;Correspondente Bancário;Credito Pessoal;6797,35;0,2444;60;509;28514,6;0;Em Dia
CTR-50179;28/01/2023;Cliente_10179;PE;App Mobile;Empréstimo Empresarial PJ;71578,54;0,1699;24;777;17947,14;0;Em Dia
CTR-50180;2023-08-20;Cliente_10180;RS;App Mobile;Financiamento Veicular;56892,92;0,1464;12;821;8010,61;0;Em Dia
CTR-50181;25/11/2023;Cliente_10181;MG;App Mobile;Cartão de Credito rotativo;19838,24;0,5854;48;777;26705,05;0;Em Dia
